dimension,lattice_size,alpha,gamma,g^4,D(p),error,p,acceptance_rate,warmup_steps,production_steps,sample_every,base_leapfrog_steps,base_seed,retained_configurations,seed
3,32,1.0,1.0,2.0,0.28331736271937935,0.0034406317660711254,4.516039439535327,0.9582428571428572,10000,70000,10,30,,7000,3727701229
3,32,1.0,1.0,2.0,0.31713432418543774,0.0029470491943292755,4.71238898038469,0.9582428571428572,10000,70000,10,30,,7000,3727701229
3,32,1.0,1.0,2.0,0.35987664494875654,0.004231130707297221,4.908738521234052,0.9582428571428572,10000,70000,10,30,,7000,3727701229
3,32,1.0,1.0,2.0,0.41466800792490127,0.0057311860938477005,5.105088062083414,0.9582428571428572,10000,70000,10,30,,7000,3727701229
3,32,1.0,1.0,2.0,0.48990480625159777,0.005692139100347371,5.301437602932776,0.9582428571428572,10000,70000,10,30,,7000,3727701229
3,32,1.0,1.0,2.0,0.5736446774616851,0.0055451735734204045,5.497787143782138,0.9582428571428572,10000,70000,10,30,,7000,3727701229
3,32,1.0,1.0,2.0,0.6798418440331185,0.008617977496787452,5.6941366846315,0.9582428571428572,10000,70000,10,30,,7000,3727701229
3,32,1.0,1.0,2.0,0.7546007454724567,0.008309529395217435,5.890486225480862,0.9582428571428572,10000,70000,10,30,,7000,3727701229
3,32,1.0,1.0,2.0,0.8238963913468403,0.010323744567206718,6.086835766330224,0.9582428571428572,10000,70000,10,30,,7000,3727701229
3,32,1.0,1.0,5.0,0.7262484707960473,0.012353310664817783,0.0,0.9597142857142857,10000,70000,10,30,,7000,4153023564
3,32,1.0,1.0,5.0,0.6981641175071702,0.00826937931583715,0.19634954084936207,0.9597142857142857,10000,70000,10,30,,7000,4153023564
3,32,1.0,1.0,5.0,0.6599586590258273,0.010412021014736534,0.39269908169872414,0.9597142857142857,10000,70000,10,30,,7000,4153023564
3,32,1.0,1.0,5.0,0.5729005106008451,0.005944305846808389,0.5890486225480862,0.9597142857142857,10000,70000,10,30,,7000,4153023564
3,32,1.0,1.0,5.0,0.502772998386938,0.00787264157768436,0.7853981633974483,0.9597142857142857,10000,70000,10,30,,7000,4153023564
3,32,1.0,1.0,5.0,0.4450637648332504,0.003890718921564953,0.9817477042468103,0.9597142857142857,10000,70000,10,30,,7000,4153023564
3,32,1.0,1.0,5.0,0.38974563469773305,0.004989329120138219,1.1780972450961724,0.9597142857142857,10000,70000,10,30,,7000,4153023564
3,32,1.0,1.0,5.0,0.33374999256997034,0.0027263121307944506,1.3744467859455345,0.9597142857142857,10000,70000,10,30,,7000,4153023564
3,32,1.0,1.0,5.0,0.2931933163732283,0.0033544940138386242,1.5707963267948966,0.9597142857142857,10000,70000,10,30,,7000,4153023564
3,32,1.0,1.0,5.0,0.26693254802909944,0.002581383844069589,1.7671458676442586,0.9597142857142857,10000,70000,10,30,,7000,4153023564
3,32,1.0,1.0,5.0,0.23854354728873783,0.003001223171150874,1.9634954084936207,0.9597142857142857,10000,70000,10,30,,7000,4153023564
3,32,1.0,1.0,5.0,0.22524290169510414,0.003794258251485401,2.1598449493429825,0.9597142857142857,10000,70000,10,30,,7000,4153023564
3,32,1.0,1.0,5.0,0.20537327798028113,0.0031233737253688267,2.356194490192345,0.9597142857142857,10000,70000,10,30,,7000,4153023564
3,32,1.0,1.0,5.0,0.20174177860367148,0.002609745576645156,2.552544031041707,0.9597142857142857,10000,70000,10,30,,7000,4153023564
3,32,1.0,1.0,5.0,0.19144127306853448,0.002130262961703102,2.748893571891069,0.9597142857142857,10000,70000,10,30,,7000,4153023564
3,32,1.0,1.0,5.0,0.1831238008189182,0.0025696655932534278,2.945243112740431,0.9597142857142857,10000,70000,10,30,,7000,4153023564
3,32,1.0,1.0,5.0,0.18269262180378448,0.003040198568132729,3.141592653589793,0.9597142857142857,10000,70000,10,30,,7000,4153023564
3,32,1.0,1.0,5.0,0.1831238008189182,0.0025696655932534278,3.3379421944391554,0.9597142857142857,10000,70000,10,30,,7000,4153023564
3,32,1.0,1.0,5.0,0.19144127306853448,0.0021302629617030878,3.5342917352885173,0.9597142857142857,10000,70000,10,30,,7000,4153023564
3,32,1.0,1.0,5.0,0.20174177860367148,0.002609745576645156,3.730641276137879,0.9597142857142857,10000,70000,10,30,,7000,4153023564
3,32,1.0,1.0,5.0,0.20537327798028113,0.0031233737253688267,3.9269908169872414,0.9597142857142857,10000,70000,10,30,,7000,4153023564
3,32,1.0,1.0,5.0,0.22524290169510414,0.003794258251485401,4.123340357836604,0.9597142857142857,10000,70000,10,30,,7000,4153023564
3,32,1.0,1.0,5.0,0.23854354728873783,0.003001223171150874,4.319689898685965,0.9597142857142857,10000,70000,10,30,,7000,4153023564
3,32,1.0,1.0,5.0,0.26693254802909944,0.002581383844069589,4.516039439535327,0.9597142857142857,10000,70000,10,30,,7000,4153023564
3,32,1.0,1.0,5.0,0.2931933163732283,0.0033544940138386242,4.71238898038469,0.9597142857142857,10000,70000,10,30,,7000,4153023564
3,32,1.0,1.0,5.0,0.33374999256997034,0.0027263121307944506,4.908738521234052,0.9597142857142857,10000,70000,10,30,,7000,4153023564
