g^4,gamma,p,D(p),error
10.0,1.0,6.086835766330224,0.581076497963477,0.022696225332721757
40.0,1.0,0.0,0.3127969340732108,0.022203260135630447
40.0,1.0,0.196349540849362,0.30860165065578754,0.017001767441057747
40.0,1.0,0.3926990816987241,0.3080446300676933,0.015289105659702132
40.0,1.0,0.5890486225480862,0.2910938686318851,0.0148001430752752
40.0,1.0,0.7853981633974483,0.26902345533953903,0.013583483716247503
40.0,1.0,0.9817477042468103,0.2517391376539508,0.014223907300132435
40.0,1.0,1.1780972450961724,0.225448817626122,0.01399876158396326
40.0,1.0,1.3744467859455345,0.21022060679745136,0.013551321428692543
40.0,1.0,1.5707963267948966,0.20446735438235608,0.012890189868253169
40.0,1.0,1.7671458676442586,0.18119830950285457,0.012049193788049532
40.0,1.0,1.9634954084936207,0.17829476615162385,0.010972137979560813
40.0,1.0,2.1598449493429825,0.16315961778635987,0.01171105107522541
40.0,1.0,2.356194490192345,0.15070380096750288,0.011011091468284754
40.0,1.0,2.552544031041707,0.15154546982514233,0.010849709453333701
40.0,1.0,2.748893571891069,0.13543731284668845,0.010967839651204254
40.0,1.0,2.945243112740431,0.14186821159379512,0.010502748956217209
40.0,1.0,3.141592653589793,0.13944426517129693,0.014576640108245841
40.0,1.0,3.3379421944391554,0.13378528718177896,0.010117698574913883
40.0,1.0,3.5342917352885173,0.14502364404944715,0.011077699078496765
40.0,1.0,3.730641276137879,0.15063043027611878,0.011286523025094858
40.0,1.0,3.9269908169872414,0.15548434796142954,0.010610781493286947
40.0,1.0,4.123340357836604,0.16270102555016722,0.01087360281532572
40.0,1.0,4.319689898685965,0.16374150146537567,0.011655537620157343
40.0,1.0,4.516039439535327,0.1841710449645112,0.012317661370782048
40.0,1.0,4.71238898038469,0.18965745267491965,0.01254978294078112
40.0,1.0,4.908738521234052,0.21994223096861498,0.013133898695093089
40.0,1.0,5.105088062083414,0.23983639264221257,0.013484339334910125
40.0,1.0,5.301437602932776,0.2432509034179776,0.014663660107121739
40.0,1.0,5.497787143782138,0.2796001413776609,0.015166676768174753
40.0,1.0,5.6941366846315,0.28039875491596633,0.014104927578007284
40.0,1.0,5.890486225480862,0.2982257322276958,0.014933870614039602
40.0,1.0,6.086835766330224,0.3210491211077687,0.015432734013459242
